family,horizon_seconds,same_user_mae_median_bpm,same_user_mae_minimum_bpm,same_user_mae_maximum_bpm,joint_shift_mae_median_bpm,joint_shift_mae_minimum_bpm,joint_shift_mae_maximum_bpm,joint_shift_users,journal_reporting_threshold_users,joint_shift_outcome_reported,median_model_minus_deterministic_ewma_bpm,seed_scope
outdoor_cycling,60,8.145715713500977,8.055103302001953,8.147100448608398,8.133129119873047,8.127265930175781,8.149386405944824,77,,True,-0.40554802381227084,3-seed median and range
outdoor_cycling,180,9.761539459228516,9.686504364013672,9.7996187210083,9.947577476501465,9.90025234222412,10.00547218322754,77,,True,-0.09457046461644047,3-seed median and range
outdoor_cycling,300,10.49169635772705,10.39943504333496,10.540019989013672,10.879020690917969,10.86090850830078,10.90164279937744,77,,True,-0.12237804235522454,3-seed median and range
indoor_virtual_cycling,60,6.209912300109863,6.113548278808594,6.273045539855957,5.918801784515381,5.862738609313965,5.993279457092285,18,,True,-0.8637794514829347,3-seed median and range
indoor_virtual_cycling,180,8.570405006408691,8.493586540222168,8.690276145935059,8.17273235321045,7.943546772003174,8.25386905670166,18,,True,-0.4608573779206644,3-seed median and range
indoor_virtual_cycling,300,9.059664726257324,8.960474014282227,9.064974784851074,11.098682403564451,10.967357635498049,11.359700202941896,18,,True,-0.3813539419025993,3-seed median and range
running,60,5.2611165046691895,5.250594139099121,5.26388692855835,5.084980487823486,5.0641255378723145,5.154756546020508,88,,True,-0.606171704797509,3-seed median and range
running,180,6.868812561035156,6.840531826019287,6.95702075958252,6.583225727081299,6.482592582702637,6.630910873413086,88,,True,-0.08399529903602865,3-seed median and range
running,300,7.617194652557373,7.584736347198486,7.728622913360596,7.336716175079346,7.219220161437988,7.43487548828125,88,,True,0.07638978497508386,3-seed median and range
walking_hiking,60,5.602084636688232,5.598659038543701,5.612342834472656,6.5010294914245605,6.416471481323242,6.5199408531188965,19,,True,-0.28857560176467345,3-seed median and range
walking_hiking,180,7.730978965759277,7.724746704101562,7.778849124908447,7.252436637878418,7.11703634262085,7.422905445098877,19,,True,0.45135766437817093,3-seed median and range
walking_hiking,300,8.68795108795166,8.543691635131836,8.862936973571777,8.842240333557129,8.70129680633545,8.976508140563965,19,,True,0.9550462043495367,3-seed median and range
strength_cross_training,60,9.29273796081543,9.244009971618652,9.410536766052246,9.395431518554688,9.295921325683594,9.496575355529783,20,,True,-0.481249248485506,3-seed median and range
strength_cross_training,180,10.60898208618164,10.49388599395752,10.721684455871582,11.96402072906494,11.819662094116213,12.068293571472168,20,,True,-0.12158539163439208,3-seed median and range
strength_cross_training,300,12.01248550415039,12.006786346435549,12.034716606140137,11.79708194732666,11.71924114227295,11.977876663208008,20,,True,0.008505808782778956,3-seed median and range
